
Start of firmware...
Initializing...
{'x_axis': -0.992188, 'y_axis': 0.541992, 'button': false}
{'x_axis': -0.991699, 'y_axis': 0.520996, 'button': false}
{'x_axis': -0.991211, 'y_axis': 0.470215, 'button': false}
{'x_axis': -0.991699, 'y_axis': 0.449707, 'button': false}
{'x_axis': -0.992188, 'y_axis': 0.229492, 'button': false}
{'x_axis': -0.152344, 'y_axis': -0.00244141, 'button': false}
{'x_axis': 0.00000, 'y_axis': -0.00878906, 'button': false}
{'x_axis': 0.00097656, 'y_axis': -0.00634766, 'button': false}
{'x_axis': 0.00000, 'y_axis': -0.00634766, 'button': false}
{'x_axis': 0.00683594, 'y_axis': 0.00781250, 'button': false}
{'x_axis': 0.00488281, 'y_axis': -0.992188, 'button': false}
{'x_axis': 0.00585938, 'y_axis': -0.991211, 'button': false}
{'x_axis': -0.00439453, 'y_axis': -0.991699, 'button': false}
{'x_axis': 0.00830078, 'y_axis': -0.991699, 'button': false}
{'x_axis': 0.00683594, 'y_axis': -0.991699, 'button': false}
{'x_axis': 0.00927734, 'y_axis': -0.993164, 'button': false}
{'x_axis': 0.00000, 'y_axis': -0.992188, 'button': false}
{'x_axis': -0.00585938, 'y_axis': -0.992676, 'button': false}
{'x_axis': 0.00976562, 'y_axis': -0.991211, 'button': false}
{'x_axis': 0.00927734, 'y_axis': -0.991211, 'button': false}
{'x_axis': 0.00781250, 'y_axis': -0.992188, 'button': false}
{'x_axis': 0.00488281, 'y_axis': -0.992188, 'button': false}
{'x_axis': 0.00927734, 'y_axis': -0.992188, 'button': false}
{'x_axis': -0.00292969, 'y_axis': -0.991699, 'button': false}
{'x_axis': 0.00683594, 'y_axis': -0.990723, 'button': false}
{'x_axis': 0.00830078, 'y_axis': -0.991699, 'button': false}
{'x_axis': 0.00390625, 'y_axis': -0.991699, 'button': false}
{'x_axis': -0.00292969, 'y_axis': -0.991699, 'button': false}
{'x_axis': -0.00146484, 'y_axis': -0.993164, 'button': false}
{'x_axis': 0.00927734, 'y_axis': -0.991211, 'button': false}
{'x_axis': 0.00488281, 'y_axis': -0.991211, 'button': false}
{'x_axis': 0.0903320, 'y_axis': -0.991699, 'button': false}
{'x_axis': 0.188477, 'y_axis': -0.991699, 'button': false}
{'x_axis': 0.196289, 'y_axis': -0.992188, 'button': false}
{'x_axis': 0.255371, 'y_axis': -0.991699, 'button': false}
{'x_axis': 0.325195, 'y_axis': -0.992188, 'button': false}
{'x_axis': 0.376953, 'y_axis': -0.992676, 'button': false}
{'x_axis': 0.405273, 'y_axis': -0.726074, 'button': false}
{'x_axis': 0.335449, 'y_axis': -0.215820, 'button': false}
{'x_axis': 0.324219, 'y_axis': -0.222656, 'button': false}
{'x_axis': 0.331055, 'y_axis': -0.214844, 'button': false}
{'x_axis': 0.333496, 'y_axis': -0.214356, 'button': false}
{'x_axis': 0.222656, 'y_axis': -0.155273, 'button': false}
{'x_axis': 0.0161133, 'y_axis': 0.00390625, 'button': false}
{'x_axis': 0.00634766, 'y_axis': 0.00927734, 'button': false}
{'x_axis': 0.00976562, 'y_axis': 0.00634766, 'button': false}
{'x_axis': -0.00341797, 'y_axis': 0.00634766, 'button': false}
{'x_axis': 0.0122070, 'y_axis': 0.00585938, 'button': false}
{'x_axis': -0.00146484, 'y_axis': -0.00732422, 'button': false}
{'x_axis': 0.00585938, 'y_axis': 0.00439453, 'button': false}
{'x_axis': 0.0102539, 'y_axis': 0.00830078, 'button': false}
{'x_axis': 0.00585938, 'y_axis': 0.00439453, 'button': false}
{'x_axis': -0.00488281, 'y_axis': 0.216797, 'button': false}
{'x_axis': 0.00830078, 'y_axis': 0.999512, 'button': false}
